generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,15,41,0.36585365853658536,62.24317073170719,255.74999999999963,21.630000000000003,63.733037441216005,94,9,86,1.5573360408309753,1.2293012751409889,1.2746765698695828,0.4334805025215952,25.146341463414632
1,260,17,43,0.3953488372093023,61.74395348837194,197.54999999999956,44.30999999999979,68.56520122579097,107,11,126,1.6933164154603708,1.3422921400670107,1.3508839139028084,0.41628181448602625,118.53488372093024
2,260,17,40,0.425,62.52474999999985,246.34999999999962,27.790000000000006,46.66746164820475,82,8,87,1.7930355809682574,1.227999308331578,1.3209741422006573,0.4254299239425384,252.1
3,260,8,43,0.18604651162790697,47.17139534883709,308.6999999999996,19.489999999999988,83.3843486476506,76,11,72,1.8109624171340355,1.1755652380981365,1.3369582098973296,0.42659226085693847,437.6511627906977
4,260,24,56,0.42857142857142855,71.3448214285713,307.09999999999957,56.74499999999983,45.0926208554197,119,24,109,1.8108141723424336,1.2058376658939307,1.422525275488098,0.4273617200236002,751.6428571428571
5,260,29,58,0.5,83.17982758620674,268.49999999999955,59.1499999999999,58.89441965861675,184,26,168,1.7806750116548644,1.2005365727837276,1.4281254539740582,0.41562532981335576,1185.551724137931
6,260,22,52,0.4230769230769231,75.52519230769215,303.6999999999996,46.67500000000001,53.226301174148354,135,20,109,1.7788860184064725,1.1876319554756085,1.4171835802294572,0.41747393359904594,1643.2115384615386
7,260,15,48,0.3125,64.99354166666652,245.79999999999956,30.71499999999987,52.795097589705826,105,16,113,1.7799857431190291,1.191241497645154,1.4402707846532508,0.411152611614769,2165.6458333333335
8,260,34,61,0.5573770491803278,96.7901639344261,373.7000000000003,63.849999999999824,57.73952663187495,169,29,68,1.792869021573128,1.1909867329301334,1.4407114277923225,0.40929246700099636,2839.5245901639346
9,260,35,60,0.5833333333333334,95.43916666666654,337.3000000000003,78.99999999999986,49.96808363478508,165,28,93,1.7976976356869774,1.1862947262012153,1.4393967331198045,0.39584481410902866,3444.5333333333333
10,260,31,58,0.5344827586206896,88.03982758620674,328.69999999999993,54.394999999999854,56.77539734219711,160,26,89,1.8030114277186589,1.18133524183137,1.4295998828068681,0.39928391660464685,3963.1724137931033
11,260,40,68,0.5882352941176471,97.0082352941175,321.64999999999975,67.16999999999973,55.46047879762655,201,36,112,1.8090721529407587,1.183414862245494,1.4284462398965045,0.3957307798668875,4536.279411764706
