generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,28,56,0.5,77.92999999999986,356.3499999999998,55.82499999999995,47.959405098916264,119,24,95,1.5084704628322274,1.3617127962930564,1.327204954860134,0.458030720212788,43.55357142857143
1,260,39,72,0.5416666666666666,92.59888888888878,407.4000000000002,68.9549999999999,53.28661646195936,185,40,128,1.4439025900436622,1.3753854479069132,1.349241030477942,0.46126712497956035,196.36111111111111
2,260,19,51,0.37254901960784315,56.75078431372536,324.1999999999999,26.300000000000004,36.459146798096754,86,19,98,1.4340627938778823,1.3285613029047398,1.382320396196962,0.4441321340790612,418.29411764705884
3,260,31,57,0.543859649122807,77.57473684210511,241.49999999999963,56.69999999999987,44.388688534328146,125,25,106,1.409615009002491,1.3790686444046514,1.4084721234194548,0.42719666486376595,791.6842105263158
4,260,33,65,0.5076923076923077,82.9555384615383,295.4499999999996,76.88999999999984,42.152296818452555,145,33,114,1.387387961979024,1.3774143800668428,1.4178804902978335,0.42206201559706535,1428.0923076923077
5,260,36,56,0.6428571428571429,86.86946428571413,296.9499999999996,62.98999999999993,58.06789052754303,166,24,137,1.379395235908415,1.3526411977753623,1.4371285344113285,0.4224493088974159,2017.25
6,260,31,54,0.5740740740740741,79.66203703703692,376.35000000000116,54.90999999999994,53.65222613382501,120,22,80,1.4009642562230658,1.3581444958906117,1.4572041006953247,0.41292066401374244,2794.4814814814813
7,260,24,50,0.48,71.32099999999993,487.8500000000007,15.255000000000003,57.111120163082035,135,18,169,1.397234368574262,1.356355755886305,1.464289411110543,0.41339219742503813,3389.62
8,260,53,84,0.6309523809523809,102.97523809523793,387.4499999999998,74.71999999999998,61.36869765521075,208,52,93,1.4365269141516246,1.3441577773699638,1.4581050294099955,0.41181260360395316,4032.4880952380954
9,260,45,90,0.5,88.17255555555543,319.13999999999965,52.650000000000006,44.115671222821945,176,58,97,1.4224443852937163,1.3478868213077175,1.4550799827449323,0.4040137416143769,4791.733333333334
10,260,35,53,0.660377358490566,92.24056603773572,334.550000000001,63.76999999999988,56.03277575849654,162,21,109,1.4228570342368667,1.3594757765708516,1.4470650621025574,0.408685761557414,5345.188679245283
11,260,59,86,0.686046511627907,98.29465116279061,457.85000000000036,52.57499999999981,55.90920976354591,240,54,148,1.430238332753354,1.3503388785394854,1.4481703556575845,0.40871039079190075,6100.360465116279
