generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,18,40,0.45,60.49574999999989,281.4499999999996,30.514999999999937,47.46010035975846,77,8,80,1.5356330074606537,1.2706603160551928,1.2683812258072378,0.45056373497793134,22.35
1,260,22,42,0.5238095238095238,67.80428571428554,223.94999999999962,71.9649999999998,60.29219031699865,89,10,93,1.52943425093934,1.3530928176527377,1.4000500905195086,0.34372388442205226,106.69047619047619
2,260,21,46,0.45652173913043476,62.999565217391165,317.1799999999998,37.879999999999704,52.17691604636294,88,14,98,1.565207853789068,1.3584301131587935,1.410674527508381,0.3408623175334794,289.0
3,260,34,58,0.5862068965517241,82.96758620689641,270.5499999999996,60.78499999999994,52.715571917845246,140,26,103,1.5328236545415335,1.376590716463407,1.4263535108904182,0.3588589784739099,618.0689655172414
4,260,35,58,0.603448275862069,91.27034482758603,271.9499999999996,60.779999999999944,51.69284775555751,136,26,76,1.5682312157115268,1.3823351155309138,1.4181615126743459,0.3454429202541699,1038.344827586207
5,260,36,53,0.6792452830188679,91.43358490566021,269.87999999999965,73.3799999999999,54.88241634632573,148,21,110,1.5918074239850801,1.4061412186216753,1.443756186500448,0.3610609433286915,1419.811320754717
6,260,56,78,0.717948717948718,102.07525641025623,326.39999999999964,90.81499999999977,49.382284574707796,193,46,101,1.59596279983362,1.399718554568693,1.4657407838677576,0.35685542568627926,1999.3846153846155
7,260,38,59,0.6440677966101694,96.6461016949151,390.7500000000001,78.49999999999994,68.370956235145,181,27,111,1.5907020534317133,1.3895932873650925,1.4584161770949857,0.3652340619287154,2468.8474576271187
8,260,28,50,0.56,72.99939999999987,304.4999999999997,47.52000000000001,54.392139270972805,115,18,133,1.5843864992918812,1.3751524697904076,1.4874566759970806,0.3802315386246635,2941.34
9,260,29,52,0.5576923076923077,82.53749999999988,319.60000000000036,55.914999999999914,59.13538228715062,141,20,123,1.5922783132039082,1.4094099591777227,1.4744563423806456,0.380044556677469,3494.6153846153848
10,260,67,83,0.8072289156626506,111.11072289156614,397.1600000000003,70.99999999999977,49.23299451520411,213,51,68,1.6391187644477587,1.4311637310921577,1.4482992906324532,0.4000990595206392,4224.192771084337
11,260,20,45,0.4444444444444444,77.17333333333319,336.69999999999993,25.880000000000003,75.0710961962065,125,13,124,1.6008204790174352,1.4445704077355417,1.4309074851581736,0.4005496143073248,4730.444444444444
