generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,22,50,0.44,74.97559999999983,264.24999999999966,69.96499999999985,53.15529030881466,98,18,42,1.4934909254272732,1.1783137885668988,1.3082915961798522,0.5172524608236444,30.74
1,260,21,51,0.4117647058823529,73.76274509803903,219.74999999999957,53.23999999999985,52.69339290494544,87,19,19,1.364793663257619,1.1450413319807886,1.2996370460779196,0.5342215028852173,119.84313725490196
2,260,31,56,0.5535714285714286,85.19732142857126,329.50000000000034,79.20999999999978,46.145595481164634,119,24,40,1.2529337624427164,1.1203233585603036,1.3479524265037892,0.5269671720867034,321.0892857142857
3,260,45,59,0.7627118644067796,100.5876271186439,370.99999999999955,75.20999999999962,52.216587885624975,146,27,37,1.1972058953431126,1.1876183185730371,1.3380848346935847,0.5156328880699461,666.4915254237288
4,260,34,59,0.576271186440678,90.39711864406765,339.68999999999977,88.04999999999984,57.76704925944587,130,27,32,1.2065161769167354,1.2231868087226694,1.3089904319395225,0.5128294175305708,1016.4237288135594
5,260,29,52,0.5576923076923077,77.71115384615369,276.49999999999966,60.07999999999988,43.344013462225696,86,20,34,1.1726605065403588,1.2235674340010876,1.3120092829317376,0.5423819519339003,1503.326923076923
6,260,35,55,0.6363636363636364,85.09545454545436,224.54999999999956,90.17999999999995,50.9498501448953,111,23,43,1.1634424800798424,1.2222959909007627,1.3069009696593017,0.5480083362071827,2121.890909090909
7,260,51,74,0.6891891891891891,101.51351351351339,735.2500000000011,65.50499999999988,52.20185909632581,171,42,27,1.1621263701403406,1.2244908748709384,1.3008795430127182,0.5403375748025425,2817.2432432432433
8,260,22,48,0.4583333333333333,73.68749999999982,234.97999999999965,69.00999999999974,46.62039882893778,76,16,18,1.1426866567134752,1.2300843480240347,1.3078708379234278,0.5406061276921308,3183.8125
9,260,36,55,0.6545454545454545,94.48854545454529,308.74999999999983,72.18999999999994,60.10726622640522,131,23,42,1.1417219650479715,1.2391126181176155,1.315125313273972,0.5360705783295088,3740.4
10,260,39,56,0.6964285714285714,99.77571428571409,322.14999999999964,93.89499999999971,51.95157094206026,144,24,53,1.1107444429923152,1.2361889480933699,1.3142733028621494,0.5422232980804973,4289.892857142857
11,260,33,59,0.559322033898305,81.31118644067779,266.0499999999996,54.51999999999994,36.3581473465528,105,27,39,1.1306601210559561,1.2482480362464656,1.3162359785589344,0.5455997831155134,4750.64406779661
