generation,steps,population_end,population_total,survival_rate,avg_fitness,best_fitness,median_fitness,avg_energy_alive,food_eaten,reproductions,hazard_hits,avg_speed,avg_endurance,avg_foraging,avg_reproduction,avg_q_states
0,260,33,55,0.6,86.24545454545444,378.64999999999986,69.74999999999977,45.24843006399852,117,23,55,1.3651006162366934,1.3178052697634224,1.4057461116983487,0.48784493937900986,40.81818181818182
1,260,37,56,0.6607142857142857,83.40999999999985,338.1499999999996,49.234999999999886,52.63452385132656,104,24,44,1.3552450201471362,1.404494013964072,1.383284046671875,0.5193643563320375,159.55357142857142
2,260,24,54,0.4444444444444444,65.03537037037026,239.58999999999963,54.63999999999996,51.49589442784884,123,22,173,1.3740741409478987,1.471338578754355,1.4134024218948442,0.5222741884326947,356.18518518518516
3,260,54,70,0.7714285714285715,97.87657142857132,368.20000000000016,70.82499999999993,52.0500571835957,171,38,74,1.3482820918211946,1.441984156510515,1.4028260657865579,0.5257204273396054,734.1285714285714
4,260,50,70,0.7142857142857143,90.0675714285713,362.9499999999996,61.554999999999986,51.186899898207415,155,38,91,1.3387533962057425,1.4503402962093854,1.4096623394381862,0.5306843450399394,1301.5
5,260,40,58,0.6896551724137931,91.7522413793102,307.5000000000003,72.02499999999992,55.59888450356751,135,26,85,1.3309068918126856,1.4532178985874749,1.412324647990403,0.5292410696300268,1869.2758620689656
6,260,32,46,0.6956521739130435,87.38695652173897,300.24999999999955,77.2049999999999,62.54607628800534,125,14,96,1.340610546228459,1.4518193913461963,1.4145149533940398,0.5258529527183754,2481.1304347826085
7,260,32,51,0.6274509803921569,85.00647058823513,325.45000000000005,68.96999999999966,60.60784038428681,144,19,144,1.346583330194115,1.4542179044903012,1.415717723702705,0.5151790729486594,3116.450980392157
8,260,20,48,0.4166666666666667,62.12624999999986,225.63999999999965,20.830000000000002,50.051601404036575,93,16,116,1.3512850888550754,1.4549524894444337,1.412616978738374,0.5052196942867547,3628.3958333333335
9,260,40,60,0.6666666666666666,84.75216666666657,332.7500000000009,53.659999999999876,56.88645181966981,140,28,123,1.3575144321693202,1.4563178458488981,1.4036320334509298,0.5163787978343088,4197.216666666666
10,260,30,51,0.5882352941176471,79.5772549019606,259.4499999999996,68.39999999999992,46.41415262964305,121,19,117,1.357664560916082,1.454634810110233,1.4074256721727485,0.5240553842944552,4672.568627450981
11,260,17,36,0.4722222222222222,60.94777777777766,183.49999999999963,28.189999999999994,68.52591927864593,82,4,115,1.3576496827075457,1.4532033861360336,1.405874321214566,0.5287728669477565,5039.777777777777
